Country,Brand ,Brand Prefix,Product,Product Prefix,Standard Promocode,Product Type,Rate Plan Week,Rate Plan Month,Rate Plan Quarter,Rate Plan 6 months,Rate Plan Year,Rate Plan Year/month,Rate plan 6-month/month,Rate plan quarter/month,Rate Plan Day,In-app 3 mån,in-app 6 mån,Pub 1500,Pub 2000,B2B Year,Övriga Sverige Månad,Övriga Sverige Kvartal,Övriga Sverige Halvår,Övriga Sverige År,Sthlm Månad,Sthlm Kvartal,Sthlm Halvår,Sthlm År,Företag År
NO,Bergens Tidende,BT,Full Tilgang Helg,WFT,BT-WFT-,Print,N/A,558,1674,3348,6696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Bergens Tidende,BT,Full Tilgang Komplett,KFT,BT-KFT-,Print,N/A,758,2274,4548,9096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Bergens Tidende,BT,Helg,W,BT-W-,Digital,113,489,1467,2934,5868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Bergens Tidende,BT,Komplett,K,BT-K-,Print,N/A,689,2067,4134,8268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Bergens Tidende,BT,Premium,P,BT-P-,Digital,66,299,897,1794,3588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,E24,E24,Basis,BAS,E24-BAS-,Digital,N/A,199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,E24,E24,E24 og Dine Penger+,DP,E24-DP-,Digital,N/A,269,N/A,N/A,2628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,E24,E24,E24 sanntidskurser,SK,E24-SK-,Digital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,E24,E24,E24 uten deling,X,E24-X-,Digital,N/A,198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,E24,E24,Full Tilgang,FT,E24-FT-,Digital,N/A,379,N/A,N/A,4548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,E24,E24,Pro,PRO,E24-PRO-,Digital,N/A,249,N/A,N/A,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni annonsfritt,D,OM-AD-,Digital,N/A,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni Bundle,B,OM-B-,Digital,N/A,249,N/A,N/A,N/A,199/mån,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni Bundle Bas,BB,OM-BB-,Digital,N/A,199,N/A,N/A,N/A,159/mån,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni Ekonomi,EK,OM-EK-,Digital,N/A,189,N/A,N/A,N/A,159/mån,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni Ekonomi Bas,EKB,OM-EKB-,Digital,N/A,179,N/A,N/A,N/A,149/mån,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni Mer,MER,OM-MER-,Digital,N/A,139,N/A,N/A,1188,99/mån,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni Mer Bas,MERB,OM-MERB-,Digital,29,119,N/A,N/A,948,79/mån,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Omni,OMNI,Omni Superpaketet,SP,OM-SP-,Digital,N/A,299,N/A,N/A,N/A,269/mån,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Podme NO,PM-NO,Podme NO,,PM-NO-,Digital,N/A,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
